Returned,Sales,Profit,State,Sub-Category
0,843.9,371.316,Washington,Accessories
0,49.98,8.4966,California,Accessories
0,428.4,89.964,Washington,Accessories
0,50,10.5,Washington,Accessories
0,239.94,26.3934,Washington,Accessories
0,2309.65,762.1845,New York,Accessories
0,82.95,29.0325,California,Accessories
0,19.99,6.7966,New York,Accessories
0,284.97,85.491,California,Accessories
0,655.9,275.478,Minnesota,Accessories
0,99.98,42.9914,Michigan,Accessories
0,93.98,13.1572,Washington,Accessories
0,199.75,87.89,California,Accessories
0,111.98,26.8752,Virginia,Accessories
0,99.39,40.7499,California,Accessories
0,199.96,69.986,California,Accessories
0,234.45,103.158,Virginia,Accessories
0,159.56,59.0372,California,Accessories
0,90.57,11.7741,California,Accessories
0,843.9,371.316,New York,Accessories
0,1399.93,601.9699,New York,Accessories
0,84.99,30.5964,Michigan,Accessories
0,101.7,6.102,Georgia,Accessories
0,149.95,65.978,Georgia,Accessories
0,119.96,52.7824,New York,Accessories
0,79.99,28.7964,New York,Accessories
0,167.97,40.3128,New York,Accessories
0,11.54,3.462,Washington,Accessories
0,239.97,86.3892,California,Accessories
0,62.31,22.4316,California,Accessories
0,179.97,86.3856,California,Accessories
0,99.99,37.9962,California,Accessories
0,89.97,37.7874,California,Accessories
0,140.97,19.7358,California,Accessories
0,66.26,27.1666,California,Accessories
0,37.6,2.256,New York,Accessories
0,499.98,114.9954,Georgia,Accessories
0,119.98,35.994,California,Accessories
0,53.25,20.7675,California,Accessories
0,199.96,15.9968,Indiana,Accessories
0,62.85,13.1985,California,Accessories
0,79.96,18.3908,Kentucky,Accessories
0,209.93,92.3692,California,Accessories
0,25.78,2.578,Washington,Accessories
0,7.92,3.4848,California,Accessories
0,538.92,80.838,Washington,Accessories
0,99.54,10.9494,California,Accessories
0,323.37,129.348,California,Accessories
0,159.8,70.312,Indiana,Accessories
0,1649.95,659.98,California,Accessories
0,236,40.12,California,Accessories
0,139.93,34.9825,California,Accessories
0,36.24,15.2208,California,Accessories
0,10.99,4.2861,California,Accessories
0,159.98,57.5928,California,Accessories
0,254.24,76.272,California,Accessories
0,1.98,0.891,Indiana,Accessories
0,98.16,9.816,Kentucky,Accessories
